lat,lon,anomaly
-48.0,126.0,0.5372939
-48.0,130.0,0.51522994
-48.0,134.0,0.49690872
-48.0,138.0,0.5036098
-48.0,142.0,0.52545166
-48.0,146.0,0.54526764
-48.0,150.0,0.5499071
-48.0,154.0,0.5583607
-48.0,158.0,0.59316367
-48.0,162.0,0.6500849
-48.0,166.0,0.67377734
-48.0,170.0,0.6189012
-48.0,174.0,0.5864433
-48.0,178.0,0.57379544
-48.0,182.0,0.5545665
-48.0,186.0,0.5489769
-48.0,190.0,0.5401475
-48.0,194.0,0.53784823
-48.0,198.0,0.53541887
-48.0,202.0,0.53609425
-48.0,206.0,0.5299246
-48.0,210.0,0.5072806
-48.0,214.0,0.50424135
-48.0,218.0,0.52018005
-48.0,222.0,0.5390669
-48.0,226.0,0.5446999
-48.0,230.0,0.5491468
-48.0,234.0,0.560128
-48.0,238.0,0.56572485
-48.0,242.0,0.546823
-48.0,246.0,0.5176455
-48.0,250.0,0.50828063
-48.0,254.0,0.5147289
-48.0,258.0,0.5403228
-48.0,262.0,0.5511877
-48.0,266.0,0.5494753
-48.0,270.0,0.5315891
-48.0,274.0,0.502787
-48.0,278.0,0.43547234
-48.0,282.0,0.3792833
-48.0,286.0,0.41953546
-48.0,290.0,
-48.0,294.0,0.6327401
-48.0,298.0,0.615483
-48.0,302.0,0.56774867
-48.0,306.0,0.6210054
-48.0,310.0,0.7650412
-48.0,314.0,0.73684084
-48.0,318.0,0.73248124
-48.0,322.0,0.7266657
-48.0,326.0,0.72347087
-48.0,330.0,0.7091283
-48.0,334.0,0.68235034
-48.0,338.0,0.6474496
-48.0,342.0,0.5314897
-48.0,346.0,0.5633458
-48.0,350.0,0.64328796
-48.0,354.0,0.5109907
-48.0,358.0,0.51138544
-44.0,2.0,0.4099303
-44.0,6.0,0.47738916
-44.0,10.0,0.5284137
-44.0,14.0,0.56972
-44.0,18.0,0.5981099
-44.0,22.0,0.64918756
-44.0,26.0,0.6813737
-44.0,30.0,0.6927947
-44.0,34.0,0.6991859
-44.0,38.0,0.74951535
-44.0,42.0,0.6920312
-44.0,46.0,0.6133048
-44.0,50.0,0.6256701
-44.0,54.0,0.6765442
-44.0,58.0,0.7560846
-44.0,62.0,0.7049765
-44.0,66.0,0.6289339
-44.0,70.0,0.63199294
-44.0,74.0,0.6408136
-44.0,78.0,0.6350651
-44.0,82.0,0.6359095
-44.0,86.0,0.6284085
-44.0,90.0,0.63149506
-44.0,94.0,0.61858845
-44.0,98.0,0.5828161
-44.0,102.0,0.585214
-44.0,106.0,0.5948247
-44.0,110.0,0.58426255
-44.0,114.0,0.5739175
-44.0,118.0,0.54782766
-44.0,122.0,0.5289678
-44.0,126.0,0.51553404
-44.0,130.0,0.5082508
-44.0,134.0,0.49810702
-44.0,138.0,0.55573726
-44.0,142.0,0.75198954
-44.0,146.0,0.9656681
-44.0,150.0,1.0737565
-44.0,154.0,0.8760806
-44.0,158.0,0.8325062
-44.0,162.0,0.8537659
-44.0,166.0,0.8538457
-44.0,170.0,0.8346899
-44.0,174.0,0.64639544
-44.0,178.0,0.5898661
-44.0,182.0,0.5793218
-44.0,186.0,0.590981
-44.0,190.0,0.56792456
-44.0,194.0,0.5497927
-44.0,198.0,0.53117293
-44.0,202.0,0.5313338
-44.0,206.0,0.55215275
-44.0,210.0,0.5943296
-44.0,214.0,0.64278096
-44.0,218.0,0.6886886
-44.0,222.0,0.7240789
-44.0,226.0,0.73107904
-44.0,230.0,0.7261355
-44.0,234.0,0.69848937
-44.0,238.0,0.6635737
-44.0,242.0,0.61776793
-44.0,246.0,0.5798406
-44.0,250.0,0.57335013
-44.0,254.0,0.57326674
-44.0,258.0,0.6031739
-44.0,262.0,0.6105638
-44.0,266.0,0.6118543
-44.0,270.0,0.6001943
-44.0,274.0,0.5577428
-44.0,278.0,0.49010468
